Target	TCGA_E2_A10E_01A_21R_A10J_07	TCGA_D8_A1JB_01A_11R_A13Q_07	TCGA_AR_A5QN_01A_12R_A28M_07	TCGA_LL_A50Y_01A_11R_A266_07	TCGA_B6_A0I5_01A_11R_A034_07	TCGA_D8_A141_01A_11R_A115_07	TCGA_E2_A14Q_01A_11R_A12D_07	TCGA_B6_A0I8_01A_11R_A034_07	TCGA_AC_A3HN_01A_11R_A213_07	TCGA_A2_A04V_01A_21R_A034_07	TCGA_A2_A1FW_01A_11R_A13Q_07	TCGA_C8_A12U_01A_11R_A115_07	TCGA_EW_A1PC_01B_11R_A21T_07	TCGA_5T_A9QA_01A_11R_A41B_07	TCGA_AN_A0AJ_01A_11R_A00Z_07	TCGA_A2_A04R_01A_41R_A109_07	TCGA_AR_A0TV_01A_21R_A084_07	TCGA_A8_A09R_01A_11R_A00Z_07	TCGA_E2_A1L7_01A_11R_A144_07	TCGA_BH_A42T_01A_11R_A24H_07
FAM168A	13.03307881	12.47497338	11.54399845	11.33594857	11.57412044	12.76113565	12.17617315	11.86611979	12.67970001	11.58167136	13.04780555	11.12734954	11.89254282	12.28424575	11.42992974	12.04575966	11.0721326	12.12734954	12.67109873	12.48884435
RELT	8.06608919	7.303780748	8.06608919	7.857980995	6.95419631	8.584962501	6.700439718	7.076815597	8.50779464	6.942514505	7.276124405	7.6794801	7.988684687	8.317412614	9.86727874	8.13442632	7.781359714	7.857980995	8.54303182	9.82336724
GALC	10.65105169	12.25502857	11.69870467	9.938109326	11.13185696	11.15734694	10.48582931	10.74986943	11.16427844	10.53624722	11.49685378	11.45994385	11.02444712	11.13314221	10.49785184	10.95927751	10.29576893	11.40354468	10.57648435	10.09143539
NOP58	11.50332886	11.36577564	11.69609817	10.86263736	11.34983409	11.39927792	11.27786855	11.32923574	11.0986901	11.69435789	11.1376316	11.70692764	11.68999797	12.04234338	11.197831	11.58120058	11.41679753	11.00070427	12.08746284	11.96722626
SZRD1	11.70606427	12.04575966	11.81016994	12.58472767	13.10033382	12.50605959	12.50357732	11.72451385	12.53478921	12.86476651	12.0261776	12.7561393	12.53381639	12.2629757	11.942881	11.62707784	12.49934763	11.93036775	12.38936246	12.65105169
KCNH2	7.820178962	5.807354922	6.169925001	6.62935662	8.154818109	7.6794801	5.491853096	7.832890014	6.285402219	5	7.076815597	6.965784285	5.584962501	8.361943774	4.523561956	4.392317423	4.392317423	10.4807902	10.71166697	7.189824559
CUL1	12.10623576	12.20823436	11.95637616	11.77889848	12.23631323	12.12379809	12.01367161	12.24079133	11.94580958	12.08381171	11.49285462	12.03032228	11.26795708	11.52845411	11.86727874	12.00912879	11.71209705	11.90162116	11.50432245	11.3089078
FAM114A2	11.05052891	10.51569984	10.45121111	10.31741261	10.31514956	10.45224124	10.32979634	10.05120894	10.90162116	10.509775	10.51963625	10.09671515	10.15355203	9.56414949	10.71166697	10.53138146	10.37829486	10.52552081	9.839203788	10.33873638
CYFIP2	11.45840661	10.96361862	9.471675214	8.62935662	11.09077405	10.99576715	10.15101654	12.16710448	10.63934071	10.96578428	11.86727874	9.055282436	11.77107674	8.960001932	11.60316268	10.60733031	12.38667086	11.97835296	11.30777003	11.05934446
TAB2	12.92666663	13.10558118	12	11.42626475	11.40620501	12.77848786	12.16113188	13.14815877	12.40965611	12.83683936	12.61746747	11.59758704	12.32951607	12.28915435	12.67595703	11.82177398	12.28915435	12.45635442	13.1086878	11.67595703
GINM1	11.66578003	11.49835061	11.42574042	11.4325419	11.16679075	11.10066234	11.52454172	12.14370208	11.36850646	11.66044165	11.24970606	10.86727874	11.22881869	10.77066389	11.2974895	10.50680344	11.88912366	11.02859678	11.6956633	11.0313566
EIF2AK2	13.30206767	12.93847694	13.28973074	11.13121391	10.97871046	12.64250303	12.29433356	11.46250227	12.30092449	12.16616308	13.28612454	11.87958325	13.30335267	11.91363743	12.52796564	11.70476824	13.28612454	12.82276997	13.00316651	11.4918531
USP36	11.2772874	12.14593215	11.77643303	11.09275714	11.45891921	11.5137276	11.49835061	12.32895536	11.58590145	11.46913302	11.71853288	11.86650621	11.68387187	12.4604559	11.75321675	12.46071185	11.73216743	12.08746284	11.92444139	12.00527366
KMT2C	13.1524433	12.90519895	12.31344994	11.15481811	12.41389233	12.90782954	12.45455634	13.66489167	12.97996102	12.00316651	13.25812432	12.28250931	11.41045135	11.28598011	11.67904019	12.74399286	11.57648435	13.04388171	11.76570049	10.98513037
MCOLN3	6.303780748	6.882643049	7.906890596	4.857980995	4.584962501	6.209453366	6.686500527	5.832890014	6.781359714	7.965784285	8.573647187	3	9.154818109	6.942514505	7.459431619	10	5.554588852	8.214319121	8.459431619	7.924812504
CCDC85A	3.459431619	3.584962501	6	0	2.321928095	3.459431619	4.523561956	5	5.930737338	4.64385619	3.906890596	2.321928095	3	4.700439718	5.321928095	5.832890014	3.169925001	4.807354922	6.339850003	6.832890014
PUM2	13.64925618	13.51076417	13.4152136	12.58730873	12.82674708	13.11715606	13.35837648	13.0657527	13.28857774	13.60709909	13.62388149	12.99081308	13.27626983	13.15560884	13.38235383	13.88617287	13.61712305	13.43918158	13.46786024	12.9853083
MRPL43	10.91288934	10.45224124	10.52258153	12.33343492	11.96072599	10.57931594	10.90463462	10.69174352	11.11113567	11.25502857	11.03204573	10.98584194	11.54399845	11.26678654	11.96253456	11.17242751	11.06474276	10.47876962	10.02236781	12.09473751
ITIH4	3.906890596	2.321928095	3	4.087462841	0	3.459431619	2.321928095	1	3.321928095	2.321928095	2	3	3.321928095	1.584962501	0	2.807354922	3.584962501	2.807354922	2	2.807354922
ITIH1	2.321928095	2.584962501	2.807354922	0	1	3.321928095	3	1.584962501	1.584962501	0	0	2.321928095	0	0	4.087462841	1	4.169925001	2.807354922	3.321928095	1.584962501
HPF1	10.34762137	9.562242424	9.861086906	10.31061278	9.74819285	9.519636253	9.659995892	8.820178962	9.457380879	10.25502857	9.749869427	9.962896005	9.675957033	10.82257083	11.45378506	10.09803208	10.04712391	9.100662339	9.658211483	10.24317398
ZFR	12.91606605	12.84097457	12.34290803	11.11699368	11.61792656	12.51051694	12.29548197	12.46326892	12.44449729	12.38909352	12.90914305	12.28395649	13.0370321	12.22309669	12.47548013	12.67352992	12.95474158	12.78115477	12.74167764	11.97477307
ZNF280C	8.262094845	8.647458426	7.894817763	6.442943496	7.658211483	8.060695932	7.857980995	8.252665432	7.714245518	8.13442632	7.820178962	8.596189756	8.912889336	7.294620749	8.471675214	8.276124405	7.651051691	8.092757141	7.686500527	7.321928095
NPFFR2	6.459431619	2.321928095	4.087462841	4.321928095	2.321928095	2	3.584962501	6.714245518	2	1	2	0	8.758223215	0	1	2.321928095	1	1.584962501	0	1.584962501
PHF21B	5.129283017	6.22881869	7.577428828	0	5.426264755	2.807354922	5.044394119	7.22881869	3.169925001	6.459431619	8.710806434	5.357552005	5.169925001	5.247927513	1.584962501	3.321928095	4.459431619	8.829722735	11.31854281	1.584962501
TRAF1	9.216745858	10.42626475	8.761551232	9.511752654	9.511752654	11.25797706	9.11113567	8.74819285	9.62935662	9.087462841	8.651051691	9.422064766	8.129283017	8.744833837	9.605479518	8.550746785	9.804131021	9.294620749	9.688250309	9.233619677
RC3H2	11.57601187	12.29203399	11.41837972	10.27612441	10.23002044	11.82853321	11.55170826	11.75321675	11.49034951	11.45584091	12.24138736	12.20089861	11.57742883	11.1221809	11.72408746	12.51175265	12.1221809	12.19105921	12.4003458	10.36632221
IL17RB	8.405141463	8.330916878	10.63117706	8.804131021	9.187352073	7.888743249	9.428360173	8.17990909	8.566054038	10.57648435	9.831307244	9.17990909	9.902375114	10.74146699	9.787902559	12.29260922	10.59991284	9.840777924	10.38262403	8.247927513
TRAF3IP2	11.47725232	10.4314976	11.16804527	11.14210706	10.87574935	10.43671154	11.45738088	11.28077077	10.54882191	11.14656868	10.55362929	12.18456545	10.32755264	10.38478375	10.86882255	10.18858885	10.40087944	10.54399845	11.34429591	11.07614753
GYG2	10.21310422	8.098032083	11.50382574	7.592457037	7.73470962	9.079484784	8.618385502	8.430452552	9.83447105	8.487840034	9.702172685	9.972979786	10.16616308	8.016808288	8.897845456	9.926295995	5.491853096	10.63843591	8.154818109	10.35424938
DCBLD2	10.5849625	10.00422047	9.77478706	9.733015322	10.93810933	10.76487159	10.39446269	9.689997971	10.93221475	10.64475759	11.32811389	9.539158811	12.10754403	10.69087101	11.16741815	11.66533592	8.54689446	11.39767463	10.86495992	10.63934071
SERPINB3	0	1.584962501	1	0	1	0	0	0	0	0	0	0	0	0	1.584962501	0	1	0	0	0
SOAT1	11.29634268	10.93590168	10.21431912	10.53138146	10.53332973	11.18982456	11.76983784	10.25029842	11.30492167	9.675957033	9.97441459	9.269126679	11.76818432	10.39981196	12.14497682	9.902375114	11.76570049	11.6183855	11.1842555	11.03617361
PKP2	10.85642553	9.859534786	10.07547915	8.977279923	8.781359714	8.011227255	10.46250227	10.40514146	8.74819285	11.27029533	10.11374217	8.971543554	10.04439412	9.194756854	10.49385545	11.50878516	8.483815777	9.786269628	10.09539702	9.924812504
MSH4	0	2	2.807354922	5.392317423	3.321928095	2.584962501	2	2	2.807354922	3.169925001	3.321928095	2	3.807354922	1.584962501	0	2.807354922	6.339850003	2	3.807354922	4.169925001
F7	10.78953364	7.864186145	8.257387843	11.71810471	9.131856961	8.787902559	7.857980995	8.044394119	11.03823313	4	2	3.584962501	7.839203788	8.851749041	8.392317423	8.77148947	4.392317423	4.523561956	8.826548487	7.426264755
GDI2	14.04984855	14.30712964	14.0870484	13.73365092	13.53065018	14.10025168	13.85438143	13.73756424	13.84803604	13.82545572	13.40194612	14.07397416	13.97844234	14.16828037	14.14330349	13.70401169	14.26275554	13.42350989	14.18827975	14.09234422
PRDM1	9.479780264	10.34096276	8.982993575	8.888743249	8.832890014	11.21977355	9.579315938	8.915879379	10.72366094	9.894817763	9.71596199	8.971543554	8.707359132	7.562242424	9.906890596	9.881113961	9.651051691	9.939579214	10.44501485	9.105908509
ATG5	11.08281434	10.97656412	11.05052891	10.89330153	10.56700537	10.78299821	10.86495992	11.1792871	10.57648435	11.72494012	10.64385619	11.23720996	10.90011206	11.14911199	14.46684121	10.31061278	11.27146303	10.65553072	11.71553306	10.9708249
TMCC3	8.092757141	9.262094845	9.204571144	7.459431619	7.721099189	9.611024797	9.407267764	9.13442632	9.491853096	7.491853096	9.569855608	8.005624549	8.417852515	6.392317423	9.337621902	8.422064766	8.214319121	8.754887502	9.197216693	7.741466986
PITHD1	10.30035256	10.94104761	10.52943055	11.89216331	11.80211242	11.23361968	11.32811389	10.61194694	11.11243951	11.75905594	10.82097669	10.91513245	10.75655632	11.16804527	11.76818432	11.30947635	11.5372184	10.44086917	11.58590145	10.64655871
MTA3	12.49560523	11.38154295	11.96794671	12.03686045	11.67330908	10.79928162	11.92555444	11.33539035	11.69522829	12.11080953	11.44138803	12.07380685	11.55026581	12.60640521	12.06978539	12.42180186	11.51520703	11.79075575	11.70908381	11.96830679
USP13	10.30720081	11.02652344	10.76238204	9.62388149	9.758223215	9.5980525	10.4807902	10.17617315	10.40301202	9.388017285	11.28944258	11.04439412	11.40354468	10.6617781	11.08945048	12.05222839	10.66711154	11.52503135	10.53040634	11.02513956
ATP11B	10.73301532	12.08381171	9.968666793	9.055282436	9.764871591	11.69130733	11.50878516	10.77313921	10.42731284	10.69696753	12.20242997	11.75238065	12.13153547	7.936637939	11.86186234	11.07079181	9.177419538	11.16113188	11.26502894	9.136991112
LAMC2	11.62433855	11.23002044	11.38262403	9.862637358	13.14481754	11.62890115	12.36959735	10.17367714	11.04916787	9.493855449	9.824958741	6.894817763	7.781359714	9.820178962	10.22037833	10.41151099	5.285402219	10.15860969	10.81778312	10.40726776
